SP/SM,Num SM,Cluster ID,Data (Transfer) Size (in Bytes),Ratio of Global Access,Ratio of FP Instructions,Ratio of Branch Inst,Num Blocks,Num Threads,Speedup,Application Name,PCIe Bandwidth
192,15,5,40960,0.086,0,0.036,1,256,0.232019,MergeSort,15.75
192,15,5,409600,0.086,0,0.036,2,256,43.02926,MergeSort,15.75
192,15,5,4096000,0.086,0,0.036,16,256,48.79433,MergeSort,15.75
128,24,4,40960,0.086,0,0.036,1,256,1093.75,MergeSort,15.75
128,24,4,409600,0.086,0,0.036,2,256,59.66587,MergeSort,15.75
128,24,4,4096000,0.086,0,0.036,16,256,57.62082,MergeSort,15.75
64,80,3,40960,0.086,0,0.036,1,256,0.27248,MergeSort,4
64,80,3,409600,0.086,0,0.036,2,256,45.6621,MergeSort,4
64,80,3,4096000,0.086,0,0.036,16,256,59.50096,MergeSort,4
64,68,2,40960,0.086,0,0.036,1,256,0.321543,MergeSort,4
64,68,2,409600,0.086,0,0.036,2,256,4.672897,MergeSort,4
64,68,2,4096000,0.086,0,0.036,16,256,81.23249,MergeSort,4
192,15,1,40960,0.086,0,0.036,1,256,0.295858,MergeSort,4
192,15,1,409600,0.086,0,0.036,2,256,45.08566,MergeSort,4
192,15,1,4096000,0.086,0,0.036,16,256,50.75222,MergeSort,4
192,15,5,400000,0.01,0,0.034,196,512,0.133333,Histogram,15.75
192,15,5,4000000,0.01,0,0.034,1954,512,3.460208,Histogram,15.75
192,15,5,40000000,0.01,0,0.034,19532,512,1.504514,Histogram,15.75
192,15,5,400000000,0.01,0,0.034,195313,512,1.648352,Histogram,15.75
128,24,4,400000,0.01,0,0.034,196,512,0.222222,Histogram,15.75
128,24,4,4000000,0.01,0,0.034,1954,512,5.524862,Histogram,15.75
128,24,4,40000000,0.01,0,0.034,19532,512,1.566171,Histogram,15.75
128,24,4,400000000,0.01,0,0.034,195313,512,1.475444,Histogram,15.75
64,80,3,400000,0.01,0,0.034,196,512,0.15873,Histogram,4
64,80,3,4000000,0.01,0,0.034,1954,512,6.17284,Histogram,4
64,80,3,40000000,0.01,0,0.034,19532,512,3.496503,Histogram,4
64,80,3,400000000,0.01,0,0.034,195313,512,3.097345,Histogram,4
64,68,2,400000,0.01,0,0.034,196,512,0.294118,Histogram,4
64,68,2,4000000,0.01,0,0.034,1954,512,0.104167,Histogram,4
64,68,2,40000000,0.01,0,0.034,19532,512,3.174603,Histogram,4
64,68,2,400000000,0.01,0,0.034,195313,512,6.124234,Histogram,4
192,15,1,400000,0.01,0,0.034,196,512,0.2,Histogram,4
192,15,1,4000000,0.01,0,0.034,1954,512,0.066225,Histogram,4
192,15,1,40000000,0.01,0,0.034,19532,512,2.38379,Histogram,4
192,15,1,400000000,0.01,0,0.034,195313,512,3.728814,Histogram,4
192,15,5,100001,0.82,0,0.032,1563,64,0.025974,PrimeGen,15.75
192,15,5,1000001,0.82,0,0.032,15626,64,0.170213,PrimeGen,15.75
192,15,5,10000001,0.82,0,0.032,156251,64,1.849943,PrimeGen,15.75
192,15,5,100000001,0.82,0,0.032,1562501,64,2.50228,PrimeGen,15.75
128,24,4,100001,0.82,0,0.032,1563,64,0.093525,PrimeGen,15.75
128,24,4,1000001,0.82,0,0.032,15626,64,0.435754,PrimeGen,15.75
128,24,4,10000001,0.82,0,0.032,156251,64,1.592593,PrimeGen,15.75
128,24,4,100000001,0.82,0,0.032,1562501,64,2.269739,PrimeGen,15.75
64,80,3,100001,0.82,0,0.032,1563,64,0.008255,PrimeGen,4
64,80,3,1000001,0.82,0,0.032,15626,64,0.026346,PrimeGen,4
64,80,3,10000001,0.82,0,0.032,156251,64,0.199379,PrimeGen,4
64,80,3,100000001,0.82,0,0.032,1562501,64,1.226977,PrimeGen,4
64,68,2,100001,0.82,0,0.032,1563,64,0.066298,PrimeGen,4
64,68,2,1000001,0.82,0,0.032,15626,64,0.573276,PrimeGen,4
64,68,2,10000001,0.82,0,0.032,156251,64,2.667391,PrimeGen,4
64,68,2,100000001,0.82,0,0.032,1562501,64,5.492131,PrimeGen,4
192,15,1,100001,0.82,0,0.032,1563,64,0.010465,PrimeGen,4
192,15,1,1000001,0.82,0,0.032,15626,64,0.310976,PrimeGen,4
192,15,1,10000001,0.82,0,0.032,156251,64,1.648546,PrimeGen,4
192,15,1,100000001,0.82,0,0.032,1562501,64,2.442114,PrimeGen,4
192,15,5,400000,0.03,0.05,0.08,64,256,1.578947368,Reduction,15.75
192,15,5,4000000,0.03,0.05,0.08,64,256,11.19277108,Reduction,15.75
192,15,5,40000000,0.03,0.05,0.08,64,256,210.8333333,Reduction,15.75
192,15,5,400000000,0.03,0.05,0.08,64,256,320.039724,Reduction,15.75
64,68,2,400000,0.03,0.05,0.08,64,256,2.771428571,Reduction,4
64,68,2,4000000,0.03,0.05,0.08,64,256,44.76190476,Reduction,4
64,68,2,40000000,0.03,0.05,0.08,64,256,278.2413793,Reduction,4
64,68,2,400000000,0.03,0.05,0.08,64,256,394.2240664,Reduction,4
64,80,3,400000,0.03,0.05,0.08,64,256,4.260869565,Reduction,4
64,80,3,4000000,0.03,0.05,0.08,64,256,38.96,Reduction,4
64,80,3,40000000,0.03,0.05,0.08,64,256,327.65,Reduction,4
64,80,3,400000000,0.03,0.05,0.08,64,256,492.8207547,Reduction,4
128,24,4,400000,0.03,0.05,0.08,64,256,4.541666667,Reduction,15.75
128,24,4,4000000,0.03,0.05,0.08,64,256,31.82352941,Reduction,15.75
128,24,4,40000000,0.03,0.05,0.08,64,256,203.8301887,Reduction,15.75
128,24,4,400000000,0.03,0.05,0.08,64,256,300.2522796,Reduction,15.75
192,15,1,400000,0.03,0.05,0.08,64,256,4.264705882,Reduction,4
192,15,1,4000000,0.03,0.05,0.08,64,256,40.55555556,Reduction,4
192,15,1,40000000,0.03,0.05,0.08,64,256,303.3055556,Reduction,4
192,15,1,400000000,0.03,0.05,0.08,64,256,342.200627,Reduction,4
192,15,5,20480000,0.02,0.34,0.03,50,1024,937.5,Matmul,15.75
192,15,5,81920000,0.02,0.34,0.03,100,1024,944.8818898,Matmul,15.75
192,15,5,327680000,0.02,0.34,0.03,200,1024,914.2857143,Matmul,15.75
