SP/SM,Num SM,Cluster ID,Data (Transfer) Size (in Bytes),Ratio of Global Access,Ratio of FP Instructions,Ratio of Branch Inst,Speedup,Num Blocks,Num Threads,Application Name,PCIe Bandwidth,Class
64,80,3,40000,0.11,0,0,0.004841713,1020,1,QuickSort,4,Slowdown
64,80,3,40000,0.11,0,0,0.004841713,1020,1,QuickSort,4,Slowdown
64,80,3,4000,0.11,0,0,0.004900113,118,1,QuickSort,4,Slowdown
64,80,3,4000,0.11,0,0,0.004900113,118,1,QuickSort,4,Slowdown
64,80,3,100001,0.82,0,0.032,0.008255,1563,64,PrimeGen,4,Slowdown
128,24,4,40000,0.11,0,0,0.008891929,1020,1,QuickSort,15.75,Slowdown
128,24,4,40000,0.11,0,0,0.008891929,1020,1,QuickSort,15.75,Slowdown
128,24,4,4000,0.11,0,0,0.009651076,118,1,QuickSort,15.75,Slowdown
128,24,4,4000,0.11,0,0,0.009651076,118,1,QuickSort,15.75,Slowdown
192,15,1,100001,0.82,0,0.032,0.010465,1563,64,PrimeGen,4,Slowdown
192,15,1,4000000,0.11,0,0,0.017930452,21204,1,QuickSort,4,Slowdown
192,15,1,4000000,0.11,0,0,0.017930452,21204,1,QuickSort,4,Slowdown
64,80,3,400000,0.11,0,0,0.018511662,6483,1,QuickSort,4,Slowdown
64,80,3,400000,0.11,0,0,0.018511662,6483,1,QuickSort,4,Slowdown
192,15,5,4000000,0.11,0,0,0.022846154,21204,1,QuickSort,15.75,Slowdown
192,15,5,100001,0.82,0,0.032,0.025974,1563,64,PrimeGen,15.75,Slowdown
64,80,3,1000001,0.82,0,0.032,0.026346,15626,64,PrimeGen,4,Slowdown
128,24,4,400000,0.11,0,0,0.028344671,6483,1,QuickSort,15.75,Slowdown
192,15,5,40000,0.11,0,0,0.037681159,1020,1,QuickSort,15.75,Slowdown
128,24,4,4000000,0.11,0,0,0.040684932,21204,1,QuickSort,15.75,Slowdown
192,15,5,4000,0.11,0,0,0.041401274,118,1,QuickSort,15.75,Slowdown
192,15,1,40000,0.11,0,0,0.055793991,1020,1,QuickSort,4,Slowdown
192,15,1,40000,0.11,0,0,0.055793991,1020,1,QuickSort,4,Slowdown
64,80,3,4000000,0.11,0,0,0.05702765,21204,1,QuickSort,4,Slowdown
64,80,3,4000000,0.11,0,0,0.05702765,21204,1,QuickSort,4,Slowdown
192,15,1,4000,0.11,0,0,0.064039409,118,1,QuickSort,4,Slowdown
192,15,1,4000,0.11,0,0,0.064039409,118,1,QuickSort,4,Slowdown
192,15,1,4000000,0.01,0,0.034,0.066225,1954,512,Histogram,4,Slowdown
64,68,2,100001,0.82,0,0.032,0.066298,1563,64,PrimeGen,4,Slowdown
64,68,2,40000,0.11,0,0,0.068421053,1020,1,QuickSort,4,Slowdown
64,68,2,40000,0.11,0,0,0.068421053,1020,1,QuickSort,4,Slowdown
64,68,2,4000,0.11,0,0,0.07027027,118,1,QuickSort,4,Slowdown
64,68,2,4000,0.11,0,0,0.07027027,118,1,QuickSort,4,Slowdown
192,15,5,400000,0.11,0,0,0.087260035,6483,1,QuickSort,15.75,Slowdown
128,24,4,100001,0.82,0,0.032,0.093525,1563,64,PrimeGen,15.75,Slowdown
64,68,2,4000000,0.01,0,0.034,0.104167,1954,512,Histogram,4,Slowdown
64,68,2,4000000,0.11,0,0,0.106071429,21204,1,QuickSort,4,Slowdown
64,68,2,4000000,0.11,0,0,0.106071429,21204,1,QuickSort,4,Slowdown
192,15,1,400000,0.11,0,0,0.114678899,6483,1,QuickSort,4,Slowdown
192,15,1,400000,0.11,0,0,0.114678899,6483,1,QuickSort,4,Slowdown
192,15,5,400000,0.01,0,0.034,0.133333,196,512,Histogram,15.75,Slowdown
64,80,3,400000,0.01,0,0.034,0.15873,196,512,Histogram,4,Slowdown
192,15,5,1000001,0.82,0,0.032,0.170213,15626,64,PrimeGen,15.75,Slowdown
64,68,2,400000,0.11,0,0,0.197628458,6483,1,QuickSort,4,Slowdown
64,68,2,400000,0.11,0,0,0.197628458,6483,1,QuickSort,4,Slowdown
64,80,3,10000001,0.82,0,0.032,0.199379,156251,64,PrimeGen,4,Slowdown
192,15,1,400000,0.01,0,0.034,0.2,196,512,Histogram,4,Slowdown
128,24,4,400000,0.01,0,0.034,0.222222,196,512,Histogram,15.75,Slowdown
192,15,5,40960,0.086,0,0.036,0.232019,1,256,MergeSort,15.75,Slowdown
64,80,3,40960,0.086,0,0.036,0.27248,1,256,MergeSort,4,Slowdown
64,68,2,400000,0.01,0,0.034,0.294118,196,512,Histogram,4,Slowdown
192,15,1,40960,0.086,0,0.036,0.295858,1,256,MergeSort,4,Slowdown
192,15,1,1000001,0.82,0,0.032,0.310976,15626,64,PrimeGen,4,Slowdown
64,68,2,40960,0.086,0,0.036,0.321543,1,256,MergeSort,4,Slowdown
128,24,4,1000001,0.82,0,0.032,0.435754,15626,64,PrimeGen,15.75,Slowdown
64,68,2,1000001,0.82,0,0.032,0.573276,15626,64,PrimeGen,4,Slowdown
64,80,3,100000001,0.82,0,0.032,1.226977,1562501,64,PrimeGen,4,Minimal
128,24,4,400000000,0.01,0,0.034,1.475444,195313,512,Histogram,15.75,Minimal
192,15,5,40000000,0.01,0,0.034,1.504514,19532,512,Histogram,15.75,Minimal
128,24,4,40000000,0.01,0,0.034,1.566171,19532,512,Histogram,15.75,Minimal
192,15,5,400000,0.03,0.05,0.08,1.578947368,64,256,Reduction,15.75,Minimal
128,24,4,10000001,0.82,0,0.032,1.592593,156251,64,PrimeGen,15.75,Minimal
