SP/SM,Num SM,Connection BW,Data (Transfer) Size (in Bytes),Ratio of Global Access,Ratio of FP Instructions,Ratio of Branch Inst,Num Blocks,Num Threads,Speedup,Application Name
192,15,,40960,0.086,0,0.036,1,256,0,MergeSort
192,15,,409600,0.086,0,0.036,2,256,43.02926,MergeSort
192,15,,4096000,0.086,0,0.036,16,256,48.79433,MergeSort
128,24,,40960,0.086,0,0.036,1,256,1093.75,MergeSort
128,24,,409600,0.086,0,0.036,2,256,59.66587,MergeSort
128,24,,4096000,0.086,0,0.036,16,256,57.62082,MergeSort
64,80,,40960,0.086,0,0.036,1,256,0,MergeSort
64,80,,409600,0.086,0,0.036,2,256,45.6621,MergeSort
64,80,,4096000,0.086,0,0.036,16,256,59.50096,MergeSort
64,68,,40960,0.086,0,0.036,1,256,0,MergeSort
64,68,,409600,0.086,0,0.036,2,256,4.672897,MergeSort
64,68,,4096000,0.086,0,0.036,16,256,81.23249,MergeSort
192,15,,40960,0.086,0,0.036,1,256,0,MergeSort
192,15,,409600,0.086,0,0.036,2,256,45.08566,MergeSort
192,15,,4096000,0.086,0,0.036,16,256,50.75222,MergeSort
192,15,,400000,0.01,0,0.034,196,512,0,Histogram
192,15,,4000000,0.01,0,0.034,1954,512,3.460208,Histogram
192,15,,40000000,0.01,0,0.034,19532,512,1.504514,Histogram
192,15,,400000000,0.01,0,0.034,195313,512,1.648352,Histogram
128,24,,400000,0.01,0,0.034,196,512,0,Histogram
128,24,,4000000,0.01,0,0.034,1954,512,5.524862,Histogram
128,24,,40000000,0.01,0,0.034,19532,512,1.566171,Histogram
128,24,,400000000,0.01,0,0.034,195313,512,1.475444,Histogram
64,80,,400000,0.01,0,0.034,196,512,0,Histogram
64,80,,4000000,0.01,0,0.034,1954,512,6.17284,Histogram
64,80,,40000000,0.01,0,0.034,19532,512,3.496503,Histogram
64,80,,400000000,0.01,0,0.034,195313,512,3.097345,Histogram
64,68,,400000,0.01,0,0.034,196,512,0,Histogram
64,68,,4000000,0.01,0,0.034,1954,512,0,Histogram
64,68,,40000000,0.01,0,0.034,19532,512,3.174603,Histogram
64,68,,400000000,0.01,0,0.034,195313,512,6.124234,Histogram
192,15,,400000,0.01,0,0.034,196,512,0,Histogram
192,15,,4000000,0.01,0,0.034,1954,512,0,Histogram
192,15,,40000000,0.01,0,0.034,19532,512,2.38379,Histogram
192,15,,400000000,0.01,0,0.034,195313,512,3.728814,Histogram
192,15,,100001,0.82,0,0.032,1563,64,0.025974,PrimeGen
192,15,,1000001,0.82,0,0.032,15626,64,0.170213,PrimeGen
192,15,,10000001,0.82,0,0.032,156251,64,1.849943,PrimeGen
192,15,,100000001,0.82,0,0.032,1562501,64,2.50228,PrimeGen
128,24,,100001,0.82,0,0.032,1563,64,0.093525,PrimeGen
128,24,,1000001,0.82,0,0.032,15626,64,0.435754,PrimeGen
128,24,,10000001,0.82,0,0.032,156251,64,1.592593,PrimeGen
128,24,,100000001,0.82,0,0.032,1562501,64,2.269739,PrimeGen
64,80,,100001,0.82,0,0.032,1563,64,0.008255,PrimeGen
64,80,,1000001,0.82,0,0.032,15626,64,0.026346,PrimeGen
64,80,,10000001,0.82,0,0.032,156251,64,0.199379,PrimeGen
64,80,,100000001,0.82,0,0.032,1562501,64,1.226977,PrimeGen
64,68,,100001,0.82,0,0.032,1563,64,0.066298,PrimeGen
64,68,,1000001,0.82,0,0.032,15626,64,0.573276,PrimeGen
64,68,,10000001,0.82,0,0.032,156251,64,2.667391,PrimeGen
64,68,,100000001,0.82,0,0.032,1562501,64,5.492131,PrimeGen
192,15,,100001,0.82,0,0.032,1563,64,0.010465,PrimeGen
192,15,,1000001,0.82,0,0.032,15626,64,0.310976,PrimeGen
192,15,,10000001,0.82,0,0.032,156251,64,1.648546,PrimeGen
192,15,,100000001,0.82,0,0.032,1562501,64,2.442114,PrimeGen
192,15,5,400000,0.03,0.05,0.08,64,256,1.578947368,Reduction
192,15,5,4000000,0.03,0.05,0.08,64,256,11.19277108,Reduction
192,15,5,40000000,0.03,0.05,0.08,64,256,210.8333333,Reduction
192,15,5,400000000,0.03,0.05,0.08,64,256,320.039724,Reduction
64,68,2,400000,0.03,0.05,0.08,64,256,2.771428571,Reduction
64,68,2,4000000,0.03,0.05,0.08,64,256,44.76190476,Reduction
64,68,2,40000000,0.03,0.05,0.08,64,256,278.2413793,Reduction
64,68,2,400000000,0.03,0.05,0.08,64,256,394.2240664,Reduction
64,80,3,400000,0.03,0.05,0.08,64,256,4.260869565,Reduction
64,80,3,4000000,0.03,0.05,0.08,64,256,38.96,Reduction
64,80,3,40000000,0.03,0.05,0.08,64,256,327.65,Reduction
64,80,3,400000000,0.03,0.05,0.08,64,256,492.8207547,Reduction
128,24,4,400000,0.03,0.05,0.08,64,256,4.541666667,Reduction
128,24,4,4000000,0.03,0.05,0.08,64,256,31.82352941,Reduction
128,24,4,40000000,0.03,0.05,0.08,64,256,203.8301887,Reduction
128,24,4,400000000,0.03,0.05,0.08,64,256,300.2522796,Reduction
192,15,1,400000,0.03,0.05,0.08,64,256,4.264705882,Reduction
192,15,1,4000000,0.03,0.05,0.08,64,256,40.55555556,Reduction
192,15,1,40000000,0.03,0.05,0.08,64,256,303.3055556,Reduction
192,15,1,400000000,0.03,0.05,0.08,64,256,342.200627,Reduction
192,15,5,20480000,0.02,0.34,0.03,50,1024,937.5,Matmul
192,15,5,81920000,0.02,0.34,0.03,100,1024,944.8818898,Matmul
192,15,5,327680000,0.02,0.34,0.03,200,1024,914.2857143,Matmul
192,15,5,2048000000,0.02,0.34,0.03,500,1024,1355.503344,Matmul
64,68,2,20480000,0.02,0.34,0.03,50,1024,1875,Matmul
64,68,2,81920000,0.02,0.34,0.03,100,1024,1538.461538,Matmul
64,68,2,327680000,0.02,0.34,0.03,200,1024,1536,Matmul
64,68,2,2048000000,0.02,0.34,0.03,500,1024,1558.927458,Matmul
64,80,3,20480000,0.02,0.34,0.03,50,1024,7500,Matmul
64,80,3,81920000,0.02,0.34,0.03,100,1024,6315.789474,Matmul
64,80,3,327680000,0.02,0.34,0.03,200,1024,6760.56338,Matmul
64,80,3,2048000000,0.02,0.34,0.03,500,1024,6768.953069,Matmul
